Book-Title,Book-Author,Publisher,Price,description
Classical Mythology,Mark P. O. Morford,Oxford University Press,21.99,They should really include descriptions with these datasets
Clara Callan,Richard Bruce Wright,HarperFlamingo Canada,23.99,They should really include descriptions with these datasets
Decision in Normandy,Carlo D'Este,HarperPerennial,25.99,They should really include descriptions with these datasets
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,Farrar Straus Giroux,27.99,They should really include descriptions with these datasets
The Mummies of Urumchi,E. J. W. Barber,W. W. Norton &amp,29.99,They should really include descriptions with these datasets
The Kitchen God's Wife,Amy Tan,Putnam Pub Group,31.99,They should really include descriptions with these datasets
What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,Berkley Publishing Group,33.99,They should really include descriptions with these datasets
PLEADING GUILTY,Scott Turow,Audioworks,32.99,They should really include descriptions with these datasets
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,Random House,30.99,They should really include descriptions with these datasets
Where You'll Find Me: And Other Stories,Ann Beattie,Scribner,28.99,They should really include descriptions with these datasets
Nights Below Station Street,David Adams Richards,Emblem Editions,27.99,They should really include descriptions with these datasets
Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,Citadel Press,25.99,They should really include descriptions with these datasets
The Middle Stories,Sheila Heti,House of Anansi Press,26.99,They should really include descriptions with these datasets
Jane Doe,R. J. Kaiser,Mira Books,24.99,They should really include descriptions with these datasets
A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,Health Communications,22.99,They should really include descriptions with these datasets
The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,Brilliance Audio - Trade,20.99,They should really include descriptions with these datasets
More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,Kensington Publishing Corp.,18.99,They should really include descriptions with these datasets
Goodbye to the Buttermilk Sky,Julia Oliver,River City Pub,16.99,They should really include descriptions with these datasets
The Testament,John Grisham,Dell,17.99,They should really include descriptions with these datasets
Beloved (Plume Contemporary Fiction),Toni Morrison,Plume,18.99,They should really include descriptions with these datasets
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,Three Rivers Press,19.99,They should really include descriptions with these datasets
New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,Ryland Peters &amp,20.99,They should really include descriptions with these datasets
If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,Cypress House,21.99,They should really include descriptions with these datasets
Mary-Kate &amp, Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp,22.99,They should really include descriptions with these datasets
Tell Me This Isn't Happening,Robynn Clairday,Scholastic,23.99,They should really include descriptions with these datasets
Flood : Mississippi 1927,Kathleen Duey,Aladdin,24.99,They should really include descriptions with these datasets
Wild Animus,Rich Shapero,Too Far,25.99,They should really include descriptions with these datasets
Airframe,Michael Crichton,Ballantine Books,26.99,They should really include descriptions with these datasets
Timeline,MICHAEL CRICHTON,Ballantine Books,27.99,They should really include descriptions with these datasets
OUT OF THE SILENT PLANET,C.S. Lewis,Scribner,28.99,They should really include descriptions with these datasets
Prague : A Novel,ARTHUR PHILLIPS,Random House Trade Paperbacks,29.99,They should really include descriptions with these datasets
Chocolate Jesus,Stephan Jaramillo,Berkley Publishing Group,30.99,They should really include descriptions with these datasets
Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,Goldmann,31.99,They should really include descriptions with these datasets
Sturmzeit. Roman.,Charlotte Link,Goldmann,32.99,They should really include descriptions with these datasets
Tage der Unschuld.,Richard North Patterson,Goldmann,33.99,They should really include descriptions with these datasets
Lying Awake,Mark Salzman,Alfred A. Knopf,34.99,They should really include descriptions with these datasets
To Kill a Mockingbird,Harper Lee,Little Brown &amp,35.99,They should really include descriptions with these datasets
